yyyymm,flow,vol,date,flow_resid,bin_vol,recession
199409,0.011976291,0.073147733,9/1/94,0.014702642,2,0
199412,0.003740489,0.097633089,12/1/94,-0.001148726,4,0
199503,0.008863223,0.065200361,3/1/95,0.010348815,1,0
199506,0.00869186,0.076912945,6/1/95,0.011740271,2,0
199509,0.007120835,0.074328661,9/1/95,0.009927464,2,0
199512,0.014710925,0.088988085,12/1/95,0.009901989,3,0
199603,0.005823374,0.120345852,3/1/96,0.007389244,6,0
199606,0.003974205,0.096183167,6/1/96,0.007102894,4,0
199609,0.008846851,0.13287914,9/1/96,0.011733758,7,0
199612,0.00745786,0.09436827,12/1/96,0.002729202,3,0
199703,0.004367669,0.12788431,3/1/97,0.006013818,7,0
199706,0.011687852,0.142807517,6/1/97,0.014896819,7,0
199709,0.009455344,0.139352785,9/1/97,0.012422528,7,0
199712,0.004511583,0.218643608,12/1/97,-0.000136797,9,0
199803,0.005664051,0.126992724,3/1/98,0.007390477,7,0
199806,0.006256237,0.13039926,6/1/98,0.009545481,7,0
199809,0.002004818,0.281910546,9/1/98,0.005052281,10,0
199812,0.013504462,0.199829192,12/1/98,0.00893636,9,0
199903,0.019153758,0.194147244,3/1/99,0.020960462,9,0
199906,0.003239261,0.178107777,6/1/99,0.006608784,9,0
199909,0.004417723,0.163118354,9/1/99,0.007545464,8,0
199912,0.005842049,0.160674353,12/1/99,0.001354225,8,0
200003,0.006934892,0.245120349,3/1/00,0.008821875,10,0
200006,0.005476153,0.292387426,6/1/00,0.008925954,10,0
200009,0.004562721,0.1532166,9/1/00,0.007770741,8,0
200012,0.010425094,0.276819768,12/1/00,0.006017548,10,0
200103,0.010898826,0.258814164,3/1/01,0.012866086,10,1
200106,0.002464972,0.227338517,6/1/01,0.005995051,10,1
200109,0.007302907,0.223737751,9/1/01,0.010591204,10,1
200112,0.002055284,0.170810236,12/1/01,-0.002271984,9,1
200203,0.001153487,0.166117195,3/1/02,0.003201026,8,0
200206,0.01120687,0.19193945,6/1/02,0.014817227,9,0
200209,0.016114073,0.34237237,9/1/02,0.019482648,10,0
200212,0.010870352,0.266576077,12/1/02,0.006623362,10,0
200303,0.012454977,0.229879743,3/1/03,0.014582794,10,0
200306,0.015629126,0.163824028,6/1/03,0.019319761,8,0
200309,0.011136077,0.139952195,9/1/03,0.01458493,7,0
200312,0.008626861,0.114395924,12/1/03,0.00446015,5,0
200403,0.010608423,0.123553674,3/1/04,0.012816518,6,0
200406,0.005674632,0.116439266,6/1/04,0.009445545,6,0
200409,0.00718896,0.114182967,9/1/04,0.010718092,5,0
200412,0.004562557,0.103173081,12/1/04,0.000476124,4,0
200503,0.010577175,0.104538539,3/1/05,0.012865548,5,0
200506,0.002953305,0.114666685,6/1/05,0.006804496,5,0
200509,0.005366608,0.091242577,9/1/05,0.008976018,3,0
200512,0.001624916,0.111132066,12/1/05,-0.00238124,5,0
200603,0.023499809,0.094513929,3/1/06,0.02586846,3,0
200606,0.004936355,0.134983996,6/1/06,0.008867824,7,0
200609,0.006568561,0.109320666,9/1/06,0.010258249,5,0
200612,0.003849229,0.079710603,12/1/06,-7.66485E-05,2,0
200703,0.011311652,0.122212211,3/1/07,0.013760582,6,0
200706,0.014776344,0.104568184,6/1/07,0.018788091,5,0
200709,0.002274629,0.191172462,9/1/07,0.006044595,9,0
200712,0.008865551,0.193289568,12/1/07,0.005019952,9,1
200803,0.005822593,0.240919296,3/1/08,0.0083518,10,1
200806,0.010801606,0.172623166,6/1/08,0.014893631,9,1
200809,0.017900084,0.342961875,9/1/08,0.021750328,10,1
200812,0.009210693,0.660097991,12/1/08,0.005445372,10,1
200903,0.011164872,0.416771056,3/1/09,0.013774358,10,1
200906,0.02520172,0.267118297,6/1/09,0.029374023,10,1
200909,0.009502868,0.175349065,9/1/09,0.01343339,9,0
200912,0.012720423,0.168024872,12/1/09,0.00903538,8,0
201003,0.006504271,0.144668404,3/1/10,0.009194035,8,0
201006,0.007071391,0.255800285,6/1/10,0.011323972,10,0
201009,0.007012415,0.188588752,9/1/10,0.011023215,9,0
201012,0.008793757,0.119731029,12/1/10,0.005188992,6,0
201103,0.007700757,0.136530205,3/1/11,0.010470799,7,0
201106,0.003955293,0.130563711,6/1/11,0.008288153,7,0
201109,0.009026325,0.345609053,9/1/11,0.013117403,10,0
201112,0.019510999,0.27968017,12/1/11,0.015986513,10,0
201203,0.004192181,0.102140391,3/1/12,0.007042501,4,0
201206,0.002453669,0.169622431,6/1/12,0.006866807,9,0
201209,0.003610267,0.11806557,9/1/12,0.007781623,6,0
201212,0.00363754,0.126002392,12/1/12,0.000193332,7,0
201303,0.010627192,0.104192065,3/1/13,0.01355779,4,0
